,seed,cont_forth,noise_std
0,0,1500,0
1,1,1500,1
2,10,1500,13
3,100,1500,0
4,1000,1500,0
5,10000,1500,0
6,1001,1500,1
7,1002,1500,2
8,1003,1500,3
9,1004,1500,5
10,1005,1500,6
11,1006,1500,7
12,1007,1500,9
13,1008,1500,10
14,1009,1500,11
15,101,1500,1
16,1010,1500,13
17,1011,1500,14
18,1012,1500,15
19,1013,1500,17
20,1014,1500,18
21,1015,1500,19
22,1016,1500,21
23,1017,1500,22
24,1018,1500,23
25,1019,1500,24
26,102,1500,2
27,1020,1500,26
28,1021,1500,27
29,1022,1500,28
30,1023,1500,30
31,1024,1500,31
32,1025,1500,32
33,1026,1500,34
34,1027,1500,35
35,1028,1500,36
36,1029,1500,38
37,103,1500,3
38,1030,1500,39
39,1031,1500,40
40,1032,1500,42
41,1033,1500,43
42,1034,1500,44
43,1035,1500,45
44,1036,1500,47
45,1037,1500,48
46,1038,1500,49
47,1039,1500,51
48,104,1500,5
49,1040,1500,52
50,1041,1500,53
51,1042,1500,55
52,1043,1500,56
53,1044,1500,57
54,1045,1500,59
55,1046,1500,60
56,1047,1500,61
57,1048,1500,63
58,1049,1500,64
59,105,1500,6
60,1050,1500,65
61,1051,1500,66
62,1052,1500,68
63,1053,1500,69
64,1054,1500,70
65,1055,1500,72
66,1056,1500,73
67,1057,1500,74
68,1058,1500,76
69,1059,1500,77
70,106,1500,7
71,1060,1500,78
72,1061,1500,80
73,1062,1500,81
74,1063,1500,82
75,1064,1500,84
76,1065,1500,85
77,1066,1500,86
78,1067,1500,87
79,1068,1500,89
80,1069,1500,90
81,107,1500,9
82,1070,1500,91
83,1071,1500,93
84,1072,1500,94
85,1073,1500,95
86,1074,1500,97
87,1075,1500,98
88,1076,1500,99
89,1077,1500,101
90,1078,1500,102
91,1079,1500,103
92,108,1500,10
93,1080,1500,105
94,1081,1500,106
95,1082,1500,107
96,1083,1500,108
97,1084,1500,110
98,1085,1500,111
99,1086,1500,112
100,1087,1500,114
101,1088,1500,115
102,1089,1500,116
103,109,1500,11
104,1090,1500,118
105,1091,1500,119
106,1092,1500,120
107,1093,1500,122
108,1094,1500,123
109,1095,1500,124
110,1096,1500,126
111,1097,1500,127
112,1098,1500,128
113,1099,1500,130
114,11,1500,14
115,110,1500,13
116,1100,1500,0
117,1101,1500,1
118,1102,1500,2
119,1103,1500,3
120,1104,1500,5
121,1105,1500,6
122,1106,1500,7
123,1107,1500,9
124,1108,1500,10
125,1109,1500,11
126,111,1500,14
127,1110,1500,13
